adduser	3.134
libkrb5support0	1.20.1-2+deb12u5
libldap-2.5-0	2.5.13+dfsg-5
liblsan0	12.2.0-14+deb12u1
liblz4-1	1.9.4-1
liblzma5	5.4.1-1+deb12u1
libmagic-mgc	1:5.44-3
libmagic1	1:5.44-3
libmd0	1.0.4-2
libmount1	2.38.1-5+deb12u3
libmpc3	1.3.1-1
libmpfr6	4.2.0-1
libnettle8	3.8.1-2
libnghttp2-14	1.52.0-1+deb12u3
libnsl-dev	1.3.0-2
libnsl2	1.3.0-2
libonig5	6.9.8-1
libp11-kit0	0.24.1-2
libpam-modules	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam0g	1.5.2-6+deb12u2
libpcre2-8-0	10.42-1
libperl5.36	5.36.0-7+deb12u3
libpkgconf3	1.8.1-1
libpng16-16	1.6.39-2+deb12u5
libpq5	15.19-0+deb12u1
libpsl5	0.21.2-1
libquadmath0	12.2.0-14+deb12u1
librav1e0	0.5.1-6
libreadline8	8.2-1.3
librtmp1	2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2	2.1.28+dfsg-10
libsasl2-modules-db	2.1.28+dfsg-10
libseccomp2	2.5.4-1+deb12u1
libselinux1	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2	3.4-1+b5
libsepol2	3.4-2.1
libsmartcols1	2.38.1-5+deb12u3
libsodium23	1.0.18-1+deb12u1
libsqlite3-0	3.40.1-2+deb12u2
libss2	1.47.0-2+b2
libssh2-1	1.10.0-3+b1
libssl3	3.0.20-1~deb12u2
libstdc++6	12.2.0-14+deb12u1
libsvtav1enc1	1.4.1+dfsg-1
libsystemd0	252.39-1~deb12u2
libtasn1-6	4.19.0-2+deb12u1
libtinfo6	6.4-4
libtirpc-common	1.3.3+ds-1
libtirpc-dev	1.3.3+ds-1
libtirpc3	1.3.3+ds-1
libtsan2	12.2.0-14+deb12u1
libubsan1	12.2.0-14+deb12u1
libudev1	252.39-1~deb12u2
libunistring2	1.0-2
libuuid1	2.38.1-5+deb12u3
libwebp7	1.2.4-0.2+deb12u1
libx11-6	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libxau6	1:1.0.9-1
libxcb1	1.15-1
libxdmcp6	1:1.1.2-3
libxml2	2.9.14+dfsg-1.3~deb12u6
libxpm4	1:3.5.12-1.1+deb12u1
libxxhash0	0.8.1-1
libyuv0	0.0~git20230123.b2528b0-1
libzip4	1.7.3-1+b1
libzstd1	1.5.4+dfsg2-5
login	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2
mailcap	3.70+nmu1
mawk	1.3.4.20200120-3.1
media-types	10.0.0
mount	2.38.1-5+deb12u3
ncurses-base	6.4-4
ncurses-bin	6.4-4
openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
pkg-config	1.8.1-1
pkgconf	1.8.1-1
pkgconf-bin	1.8.1-1
readline-common	8.2-1.3
rpcsvc-proto	1.4.3-1
sed	4.9-1+deb12u1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
xz-utils	5.4.1-1+deb12u1
zlib1g	1:1.2.13.dfsg-1
